Měsíc,Hodnota,Indikátor,Jednotka
leden,-1.40,Normál teploty vzduchu (1991–2020),°C
leden,0.60,Teplota vzduchu,°C
únor,-0.40,Normál teploty vzduchu (1991–2020),°C
únor,2.80,Teplota vzduchu,°C
březen,3.20,Normál teploty vzduchu (1991–2020),°C
březen,3.10,Teplota vzduchu,°C
duben,8.50,Normál teploty vzduchu (1991–2020),°C
duben,6.40,Teplota vzduchu,°C
květen,13.10,Normál teploty vzduchu (1991–2020),°C
květen,14.30,Teplota vzduchu,°C
červen,16.50,Normál teploty vzduchu (1991–2020),°C
červen,18.70,Teplota vzduchu,°C
červenec,18.30,Normál teploty vzduchu (1991–2020),°C
červenec,18.60,Teplota vzduchu,°C
srpen,17.90,Normál teploty vzduchu (1991–2020),°C
srpen,19.10,Teplota vzduchu,°C
září,13.00,Normál teploty vzduchu (1991–2020),°C
září,12.00,Teplota vzduchu,°C
říjen,8.20,Normál teploty vzduchu (1991–2020),°C
říjen,10.70,Teplota vzduchu,°C
listopad,3.50,Normál teploty vzduchu (1991–2020),°C
listopad,4.10,Teplota vzduchu,°C
prosinec,-0.40,Normál teploty vzduchu (1991–2020),°C
prosinec,0.30,Teplota vzduchu,°C